temperature,humidity,
01:12:03,50,84
01:12:04,50.18,83
01:12:05,50.18,83
01:12:06,50.36,82
01:12:07,51.08,77
01:12:08,51.8,72
01:12:09,52.52,68
01:12:10,53.96,65
01:12:11,55.4,63
01:12:12,56.84,60
01:12:13,57.74,60
01:12:14,58.64,59
01:12:15,59.54,59
01:12:16,57.92,61
01:12:17,56.48,64
01:12:18,54.86,67
01:12:19,52.88,72
01:12:20,50.9,78
01:12:21,48.92,84
01:12:22,48.38,85
01:12:23,47.66,85
01:13:00,47.12,86
01:13:01,47.3,84
01:13:02,47.3,83
01:13:03,47.48,81
01:13:04,47.66,80
01:13:05,48.02,80
01:13:06,48.2,80
01:13:07,48.02,81
01:13:08,48.02,82
01:13:09,47.84,84
01:13:10,50.72,76
01:13:11,53.6,70
01:13:12,56.48,64
01:13:13,57.74,61
01:13:14,58.82,58
01:13:15,60.08,55
01:13:16,58.46,60
01:13:17,56.66,65
01:13:18,55.04,70
01:13:19,53.96,73
01:13:20,52.88,76
01:13:21,45.86,79
01:13:22,44.6,80
01:13:23,42.98,81
01:14:00,41.72,82
01:14:01,40.1,84
01:14:02,38.66,86
01:14:03,39.56,88
01:14:04,38.66,89
01:14:05,37.4,91
01:14:06,37.04,92
01:14:07,36.32,85
01:14:08,39.02,78
01:14:09,42.8,72
01:14:10,52.16,62
01:14:11,57.56,53
01:14:12,62.96,46
01:14:13,62.78,41
01:14:14,62.78,36
01:14:15,62.6,32
01:14:16,60.8,34
01:14:17,59,35
01:14:18,57.2,37
01:14:19,54.68,41
01:14:20,52.16,46
01:14:21,49.64,52
01:14:22,49.1,53
01:14:23,48.74,54
01:15:00,48.2,55
01:15:01,46.4,59
01:15:02,44.42,64
01:15:03,42.62,68
01:15:04,42.44,69
01:15:05,42.26,69
01:15:06,42.08,69
01:15:07,40.28,66
01:15:08,41.72,64
01:15:09,45.68,61
01:15:10,50.72,51
01:15:11,55.76,44
01:15:12,60.8,37
01:15:13,61.16,35
01:15:14,61.52,34
01:15:15,61.88,32
01:15:16,59.9,36
01:15:17,57.74,41
01:15:18,55.76,47
01:15:19,55.58,53
01:15:20,55.22,60
01:15:21,55.04,68
01:15:22,48.38,75
01:15:23,51.62,84
01:16:00,49.82,93
01:16:01,49.28,94
01:16:02,45.14,95
01:16:03,48.2,96
01:16:04,44.42,95
01:16:05,44.96,93
01:16:06,44.42,92
01:16:07,44.78,91
01:16:08,48.56,89
01:16:09,48.56,87
01:16:10,50.72,76
01:16:11,52.88,67
01:16:12,55.04,58
01:16:13,54.86,58
01:16:14,54.86,58
01:16:15,54.68,58
01:16:16,53.96,59
01:16:17,53.24,61
01:16:18,52.52,62
01:16:19,51.98,64
01:16:20,51.26,65
01:16:21,50.72,67
01:16:22,50.18,74
01:16:23,49.82,81
01:17:00,49.28,89
01:17:01,48.74,89
01:17:02,48.38,89
01:17:03,47.84,89
01:17:04,48.56,87
01:17:05,49.28,86
01:17:06,50,84
01:17:07,50.54,80
01:17:08,51.26,77
01:17:09,51.8,73
01:17:10,53.42,69
01:17:11,55.22,66
01:17:12,56.84,62
01:17:13,57.2,63
01:17:14,57.56,63
01:17:15,57.92,63
01:17:16,57.38,64
01:17:17,56.66,65
01:17:18,56.12,66
01:17:19,55.4,69
01:17:20,54.86,71
01:17:21,54.14,74
01:17:22,53.24,80
01:17:23,52.16,86
01:18:00,51.26,92
01:18:01,51.08,92
01:18:02,50.9,93
01:18:03,50.72,93
01:18:04,50.18,94
01:18:05,49.82,95
01:18:06,49.28,96
01:18:07,50,94
01:18:08,50.54,93
01:18:09,51.26,91
01:18:10,54.5,62
01:18:11,57.56,70
01:18:12,60.8,61
01:18:13,61.52,57
01:18:14,62.24,53
01:18:15,62.96,49
01:18:16,60.26,56
01:18:17,57.56,63
01:18:18,54.86,72
01:18:19,53.42,77
01:18:20,52.16,82
01:18:21,50.72,88
01:18:22,46.04,89
01:18:23,45.5,91
01:19:00,48.2,92
01:19:01,44.06,92
01:19:02,42.8,93
01:19:03,45.68,93
01:19:04,44.42,93
01:19:05,43.34,94
01:19:06,42.08,94
01:19:07,40.1,90
01:19:08,44.96,86
01:19:09,46.4,83
01:19:10,50,75
01:19:11,53.6,68
01:19:12,57.2,62
01:19:13,58.82,56
01:19:14,60.26,52
01:19:15,61.88,47
01:19:16,59.9,52
01:19:17,57.74,58
01:19:18,55.76,64
01:19:19,53.06,68
01:19:20,50.54,74
01:19:21,44.24,79
01:19:22,41.36,80
01:19:23,39.74,82
01:20:00,39.2,83
01:20:01,38.84,84
01:20:02,37.76,86
01:20:03,38.84,87
01:20:04,38.84,88
01:20:05,39.92,89
01:20:06,39.2,90
01:20:07,38.3,81
01:20:08,41.54,74
01:20:09,47.48,67
01:20:10,52.7,59
01:20:11,57.74,53
01:20:12,62.96,47
01:20:13,63.86,46
01:20:14,64.76,46
01:20:15,65.66,45
01:20:16,62.78,51
01:20:17,60.08,57
01:20:18,57.2,65
01:20:19,54.32,70
01:20:20,51.44,75
01:20:21,48.56,81
01:20:22,43.52,83
01:20:23,43.16,84
01:21:00,42.98,86
01:21:01,41.72,87
01:21:02,40.82,88
01:21:03,42.8,89
01:21:04,42.8,88
01:21:05,42.8,86
01:21:06,40.28,85
01:21:07,40.1,83
01:21:08,42.98,81
01:21:09,49.28,79
01:21:10,53.6,66
01:21:11,57.92,56
01:21:12,62.24,47
01:21:13,63.5,44
01:21:14,64.94,41
01:21:15,66.2,39
01:21:16,63.5,46
01:21:17,60.62,55
01:21:18,57.92,65
01:21:19,55.22,72
01:21:20,52.34,80
01:21:21,49.64,89
01:21:22,45.14,86
01:21:23,41.36,83
01:22:00,40.64,80
01:22:01,39.56,81
01:22:02,38.3,82
01:22:03,38.48,83
01:22:04,38.3,86
01:22:05,37.4,90
01:22:06,37.4,93
01:22:07,36.86,89
01:22:08,39.74,84
01:22:09,44.96,80
01:22:10,50.54,50
01:22:11,56.12,55
01:22:12,61.7,46
01:22:13,63.32,41
01:22:14,64.76,37
01:22:15,66.38,33
01:22:16,64.04,40
01:22:17,61.52,48
01:22:18,59.18,57
01:22:19,55.22,66
01:22:20,51.08,77
01:22:21,47.12,89
01:22:22,42.62,89
01:22:23,41.36,88
01:23:00,40.46,88
01:23:01,39.56,88
01:23:02,38.48,88
01:23:03,39.56,88
01:23:04,39.56,89
01:23:05,39.02,89
01:23:06,40.28,90
01:23:07,38.66,85
01:23:08,42.26,81
01:23:09,47.12,77
01:23:10,51.98,51
01:23:11,57.02,57
01:23:12,61.88,49
01:23:13,62.96,47
01:23:14,63.86,44
01:23:15,64.94,42
01:23:16,62.06,49
01:23:17,59.36,57
01:23:18,56.48,66
01:23:19,54.32,74
01:23:20,52.16,82
01:23:21,50,92
01:23:22,44.06,91
01:23:23,42.98,90
01:24:00,41.9,89
01:24:01,40.82,89
01:24:02,39.02,88
01:24:03,39.56,88
01:24:04,39.56,90
01:24:05,39.38,92
01:24:06,39.02,94
01:24:07,38.84,86
01:24:08,42.26,79
01:24:09,48.2,73
01:24:10,52.34,64
01:24:11,56.66,57
01:24:12,60.8,50
01:24:13,62.06,48
01:24:14,63.14,45
01:24:15,64.4,43
01:24:16,61.7,49
01:24:17,59.18,57
01:24:18,56.48,66
01:24:19,54.5,72
01:24:20,52.52,79
01:24:21,50.54,87
01:24:22,45.32,89
01:24:23,43.52,92
01:25:00,42.8,94
01:25:01,41.9,93
01:25:02,40.82,92
01:25:03,40.1,91
01:25:04,39.74,91
01:25:05,39.56,91
01:25:06,39.56,91
01:25:07,39.2,89
01:25:08,39.74,87
01:25:09,43.52,85
01:25:10,54.68,76
01:25:11,53.06,68
01:25:12,57.92,61
01:25:13,59.18,61
01:25:14,60.26,60
01:25:15,61.52,60
01:25:16,59.54,66
01:25:17,57.74,72
01:25:18,55.76,79
01:25:19,53.78,83
01:25:20,51.62,87
01:25:21,49.64,92
01:25:22,48.74,92
01:25:23,43.52,92
01:26:00,41.72,92
01:26:01,39.92,93
01:26:02,38.66,93
01:26:03,39.56,94
01:26:04,39.56,94
01:26:05,39.38,94
01:26:06,39.38,94
01:26:07,39.02,92
01:26:08,41.54,89
01:26:09,45.32,87
01:26:10,49.64,76
01:26:11,53.96,67
01:26:12,58.28,59
01:26:13,59.54,55
01:26:14,60.98,51
01:26:15,62.24,48
01:26:16,59.9,57
01:26:17,57.38,67
01:26:18,55.04,79
01:26:19,54.14,81
01:26:20,53.06,83
01:26:21,47.84,85
01:26:22,46.22,87
01:26:23,46.94,88
01:27:00,46.22,90
01:27:01,50,89
01:27:02,45.68,88
01:27:03,49.28,87
01:27:04,49.82,88
01:27:05,50.54,89
01:27:06,46.94,90
01:27:07,47.12,89
01:27:08,51.26,89
01:27:09,51.26,88
01:27:10,54.5,80
01:27:11,57.56,73
01:27:12,60.8,66
01:27:13,59.9,65
01:27:14,59.18,65
01:27:15,58.28,64
01:27:16,56.3,69
01:27:17,54.14,75
01:27:18,52.16,81
01:27:19,50.9,84
01:27:20,49.82,86
01:27:21,48.56,89
01:27:22,47.66,91
01:27:23,46.58,92
01:28:00,45.68,94
01:28:01,46.76,90
01:28:02,47.84,87
01:28:03,48.92,84
01:28:04,48.74,85
01:28:05,48.56,85
01:28:06,48.38,86
01:28:07,49.46,83
01:28:08,50.36,80
01:28:09,51.44,77
01:28:10,52.88,72
01:28:11,54.32,68
01:28:12,55.76,64
01:28:13,56.3,62
01:28:14,56.84,60
01:28:15,57.38,58
01:28:16,56.3,62
01:28:17,55.4,65
01:28:18,54.32,69
01:28:19,51.98,73
01:28:20,49.46,78
01:28:21,47.12,83
01:28:22,46.22,83
01:28:23,45.5,82
01:29:00,44.6,82
01:29:01,44.96,71
01:29:02,45.32,61
01:29:03,45.68,52
01:29:04,45.14,53
01:29:05,44.6,53
01:29:06,44.06,54
01:29:07,45.68,50
01:29:08,47.48,46
01:29:09,49.1,42
01:29:10,51.62,36
01:29:11,54.32,30
01:29:12,56.84,26
01:29:13,55.94,27
01:29:14,55.22,27
01:29:15,54.32,28
01:29:16,53.42,22
01:29:17,52.7,30
01:29:18,51.8,31
01:29:19,49.64,34
01:29:20,47.48,38
01:29:21,45.32,42
01:29:22,45.32,42
01:29:23,45.32,41
01:30:00,45.32,40
01:30:01,41.9,45
01:30:02,41.36,50
01:30:03,40.64,56
01:30:04,39.92,52
01:30:05,39.2,48
01:30:06,38.66,44
01:30:07,37.76,45
01:30:08,40.28,45
01:30:09,44.96,45
01:30:10,48.02,38
01:30:11,51.26,32
01:30:12,54.32,28
01:30:13,55.58,26
01:30:14,56.66,24
01:30:15,57.92,22
01:30:16,55.94,24
01:30:17,54.14,21
01:30:18,52.16,30
01:30:19,48.38,38
01:30:20,44.78,48
01:30:21,38.84,61
01:30:22,36.5,58
01:30:23,35.6,56
01:31:00,34.88,53
01:31:01,33.98,55
01:31:02,32.9,57
01:31:03,34.34,59
01:31:04,33.8,60
01:31:05,33.44,62
01:31:06,33.08,64
01:31:07,32.36,59
01:31:08,35.96,55
01:31:09,41,51
01:31:10,52.52,40
01:31:11,52.7,31
01:31:12,58.64,25
01:31:13,60.62,32
01:31:14,62.78,27
01:31:15,64.76,27
01:31:16,62.78,25
01:31:17,60.62,33
01:31:18,52.16,58
01:31:19,47.84,67
01:31:20,44.42,76
01:31:21,44.24,77
01:31:22,44.24,78
01:31:23,44.96,80
02:01:00,45.86,79
02:01:01,44.96,82
02:01:02,44.96,81
02:01:03,44.78,81
02:01:04,44.78,81
02:01:05,45.86,78
02:01:06,43.88,82
02:01:07,44.06,74
02:01:08,50.36,67
02:01:09,53.6,60
02:01:10,57.38,31
02:01:11,61.34,29
02:01:12,65.12,28
02:01:13,68.9,26
02:01:14,72.86,23
02:01:15,76.64,26
02:01:16,72.5,20
02:01:17,68.54,41
02:01:18,64.4,40
02:01:19,60.44,38
02:01:20,56.66,40
02:01:21,52.7,44
02:01:22,55.4,41
02:01:23,58.1,44
02:02:00,60.8,35
02:02:01,55.58,47
02:02:02,54.32,48
02:02:03,55.58,52
02:02:04,61.88,55
02:02:05,60.44,56
02:02:06,59,49
02:02:07,57.02,54
02:02:08,54.86,59
02:02:09,52.88,45
02:02:10,55.94,35
02:02:11,59.18,37
02:02:12,62.24,28
02:02:13,62.78,27
02:02:14,63.5,27
02:02:15,64.04,27
02:02:16,61.34,29
02:02:17,58.64,31
02:02:18,55.94,33
02:02:19,54.86,36
02:02:20,53.6,38
02:02:21,52.52,40
02:02:22,51.8,40
02:02:23,51.08,39
02:03:00,50.36,39
02:03:01,50,38
02:03:02,49.64,38
02:03:03,49.28,38
02:03:04,49.1,37
02:03:05,48.74,37
02:03:06,48.56,36
02:03:07,49.82,34
02:03:08,51.26,32
02:03:09,52.52,30
02:03:10,54.5,27
02:03:11,56.3,24
02:03:12,58.28,22
02:03:13,59.18,21
02:03:14,60.26,21
02:03:15,61.16,21
02:03:16,58.82,18
02:03:17,56.48,22
02:03:18,54.14,25
02:03:19,52.7,33
02:03:20,51.08,34
02:03:21,49.64,35
02:03:22,47.84,40
02:03:23,46.04,44
02:04:00,44.24,50
02:04:01,40.82,50
02:04:02,39.38,49
02:04:03,39.38,49
02:04:04,37.94,55
02:04:05,37.4,61
02:04:06,36.5,68
02:04:07,36.5,54
02:04:08,41.36,44
02:04:09,45.86,35
02:04:10,52.7,32
02:04:11,55.94,30
02:04:12,59,27
02:04:13,60.62,27
02:04:14,62.42,26
02:04:15,64.04,26
02:04:16,61.7,29
02:04:17,59.18,33
02:04:18,56.84,38
02:04:19,54.14,46
02:04:20,51.26,56
02:04:21,48.56,68
02:04:22,43.7,68
02:04:23,45.32,69
02:05:00,43.7,69
02:05:01,42.62,71
02:05:02,41.36,74
02:05:03,40.28,77
02:05:04,41.9,74
02:05:05,43.34,72
02:05:06,42.08,70
02:05:07,42.8,65
02:05:08,47.66,60
02:05:09,56.12,56
02:05:10,60.98,35
02:05:11,65.66,42
