# file...... results_be84c1a6.csv
# date...... Wed Nov  5 17:08:16 2025
# user...... tgeorgoulakis
# host...... (null)
# target.... house 2
# trigger... (none)
# interval.. 900
# limit..... 10000
# timestamp,house:total_load,washing_machine:base_power,dishwasher:base_power, indoor_lights:base_power, house:heating_setpoint, house:system_mode, house:hvac_load
2024-02-01 21:30:00 PST,+0.522727,+0,+0,+0.4,+70,HEAT,+0.105923
2024-02-01 21:45:00 PST,+0.522727,+0,+0,+0.4,+70,HEAT,+0.105923
2024-02-01 22:00:00 PST,+0.443966,+0,+0,+0.325,+70,HEAT,+0.105923
2024-02-01 22:15:00 PST,+0.443966,+0,+0,+0.325,+70,HEAT,+0.105923
2024-02-01 22:30:00 PST,+0.443966,+0,+0,+0.325,+70,HEAT,+0.105923
2024-02-01 22:45:00 PST,+0.443966,+0,+0,+0.325,+70,HEAT,+0.105923
2024-02-01 23:00:00 PST,+0.339086,+0,+0,+0.225,+70,HEAT,+0.105923
2024-02-01 23:15:00 PST,+0.339086,+0,+0,+0.225,+70,HEAT,+0.105923
2024-02-01 23:30:00 PST,+0.339086,+0,+0,+0.225,+70,HEAT,+0.105923
2024-02-01 23:45:00 PST,+0.339086,+0,+0,+0.225,+70,HEAT,+0.105923
2024-02-02 00:00:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-02 00:15:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-02 00:30:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-02 00:45:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-02 01:00:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-02 01:15:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-02 01:30:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-02 01:45:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-02 02:00:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-02-02 02:15:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-02-02 02:30:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-02-02 02:45:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-02-02 03:00:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-02-02 03:15:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-02-02 03:30:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-02-02 03:45:00 PST,+0.250191,+0,+0,+0.14,+70,HEAT,+0.105923
2024-02-02 04:00:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-02 04:15:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-02 04:30:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-02 04:45:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-02 05:00:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-02 05:15:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-02 05:30:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-02 05:45:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-02 06:00:00 PST,+0.443966,+0,+0,+0.325,+70,HEAT,+0.105923
2024-02-02 06:15:00 PST,+0.443966,+0,+0,+0.325,+70,HEAT,+0.105923
2024-02-02 06:30:00 PST,+0.443966,+0,+0,+0.325,+70,HEAT,+0.105923
2024-02-02 06:45:00 PST,+0.443966,+0,+0,+0.325,+70,HEAT,+0.105923
2024-02-02 07:00:00 PST,+0.496467,+0,+0,+0.375,+70,HEAT,+0.105923
2024-02-02 07:15:00 PST,+0.496467,+0,+0,+0.375,+70,HEAT,+0.105923
2024-02-02 07:30:00 PST,+0.496467,+0,+0,+0.375,+70,HEAT,+0.105923
2024-02-02 07:45:00 PST,+0.496467,+0,+0,+0.375,+70,HEAT,+0.105923
2024-02-02 08:00:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-02 08:15:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-02 08:30:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-02 08:45:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-02 09:00:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-02 09:15:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-02 09:30:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-02 09:45:00 PST,+0.260629,+0,+0,+0.15,+70,HEAT,+0.105923
2024-02-02 10:00:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 10:15:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 10:30:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 10:45:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 11:00:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 11:15:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 11:30:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 11:45:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 12:00:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 12:15:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 12:30:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 12:45:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 13:00:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 13:15:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 13:30:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 13:45:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 14:00:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 14:15:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 14:30:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 14:45:00 PST,+0.23455,+0,+0,+0.125,+70,HEAT,+0.105923
2024-02-02 15:00:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-02 15:15:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-02 15:30:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-02 15:45:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-02 16:00:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-02-02 16:15:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-02-02 16:30:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-02-02 16:45:00 PST,+0.3915,+0,+0,+0.275,+70,HEAT,+0.105923
2024-02-02 17:00:00 PST,+0.548993,+0,+0,+0.425,+70,HEAT,+0.105923
2024-02-02 17:15:00 PST,+0.548993,+0,+0,+0.425,+70,HEAT,+0.105923
2024-02-02 17:30:00 PST,+0.548993,+0,+0,+0.425,+70,HEAT,+0.105923
2024-02-02 17:45:00 PST,+0.548993,+0,+0,+0.425,+70,HEAT,+0.105923
2024-02-02 18:00:00 PST,+0.601537,+0,+0,+0.475,+70,HEAT,+0.105923
2024-02-02 18:15:00 PST,+0.601537,+0,+0,+0.475,+70,HEAT,+0.105923
2024-02-02 18:30:00 PST,+0.601537,+0,+0,+0.475,+70,HEAT,+0.105923
2024-02-02 18:45:00 PST,+0.601537,+0,+0,+0.475,+70,HEAT,+0.105923
2024-02-02 19:00:00 PST,+0.601537,+0,+0,+0.475,+70,HEAT,+0.105923
2024-02-02 19:15:00 PST,+0.601537,+0,+0,+0.475,+70,HEAT,+0.105923
2024-02-02 19:30:00 PST,+0.601537,+0,+0,+0.475,+70,HEAT,+0.105923
2024-02-02 19:45:00 PST,+0.601537,+0,+0,+0.475,+70,HEAT,+0.105923
2024-02-02 20:00:00 PST,+0.575263,+0,+0,+0.45,+70,HEAT,+0.105923
2024-02-02 20:15:00 PST,+0.575263,+0,+0,+0.45,+70,HEAT,+0.105923
2024-02-02 20:30:00 PST,+0.575263,+0,+0,+0.45,+70,HEAT,+0.105923
2024-02-02 20:45:00 PST,+0.575263,+0,+0,+0.45,+70,HEAT,+0.105923
2024-02-02 21:00:00 PST,+0.522727,+0,+0,+0.4,+70,HEAT,+0.105923
2024-02-02 21:15:00 PST,+0.522727,+0,+0,+0.4,+70,HEAT,+0.105923
2024-02-02 21:30:00 PST,+0.522727,+0,+0,+0.4,+70,HEAT,+0.105923
2024-02-02 21:45:00 PST,+0.522727,+0,+0,+0.4,+70,HEAT,+0.105923
2024-02-02 22:00:00 PST,+0.443966,+0,+0,+0.325,+70,HEAT,+0.105923
2024-02-02 22:15:00 PST,+0.443966,+0,+0,+0.325,+70,HEAT,+0.105923
2024-02-02 22:30:00 PST,+0.443966,+0,+0,+0.325,+70,HEAT,+0.105923
2024-02-02 22:45:00 PST,+0.443966,+0,+0,+0.325,+70,HEAT,+0.105923
2024-02-02 23:00:00 PST,+0.339086,+0,+0,+0.225,+70,HEAT,+0.105923
2024-02-02 23:15:00 PST,+0.339086,+0,+0,+0.225,+70,HEAT,+0.105923
2024-02-02 23:30:00 PST,+0.339086,+0,+0,+0.225,+70,HEAT,+0.105923
2024-02-02 23:45:00 PST,+0.339086,+0,+0,+0.225,+70,HEAT,+0.105923
2024-02-03 00:00:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-03 00:15:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-03 00:30:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-03 00:45:00 PST,+0.312906,+0,+0,+0.2,+70,HEAT,+0.105923
2024-02-03 01:00:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-03 01:15:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-03 01:30:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-03 01:45:00 PST,+0.286751,+0,+0,+0.175,+70,HEAT,+0.105923
2024-02-03 02:00:00 PST,+0.271074,+0,+0,+0.16,+70,HEAT,+0.105923
2024-02-03 02:15:00 PST,+0.271074,+0,+0,+0.16,+70,HEAT,+0.105923
2024-02-03 02:30:00 PST,+0.271074,+0,+0,+0.16,+70,HEAT,+0.105923
